State,Year,Crop,Area,Rain,Production
11,2000,64,1254,2763.2,2000
11,2000,71,2,2763.2,1
11,2000,39,102,2763.2,321
11,2000,99,176,2763.2,641
11,2000,102,720,2763.2,165
11,2000,42,18168,2763.2,65100000
11,2000,7,36,2763.2,100
11,2000,52,1,2763.2,2
11,2000,67,5,2763.2,15
11,2000,44,40,2763.2,169
11,2001,64,1254,3080.9,2061
11,2001,71,2,3080.9,1
11,2001,39,83,3080.9,300
11,2001,102,719,3080.9,192
11,2001,42,18190,3080.9,64430000
11,2001,7,46,3080.9,100
11,2001,52,1,3080.9,1
11,2001,67,11,3080.9,33
11,2002,39,189.2,2620.2,510.84
11,2002,64,1258,2620.2,2083
11,2002,99,213,2620.2,1278
11,2002,0,63,2620.2,13.5
11,2002,102,719,2620.2,208
11,2002,42,18240,2620.2,67490000
11,2002,35,413,2620.2,28.8
11,2002,7,47.3,2620.2,133
11,2002,52,5,2620.2,40
11,2003,39,52,2355.9,90.17
11,2003,64,1261,2355.9,1525
11,2003,99,266,2355.9,1763
11,2003,0,75.5,2355.9,15.86
11,2003,102,717,2355.9,208.5
11,2003,42,18284.74,2355.9,68580000
11,2003,35,60,2355.9,102
11,2003,7,102,2355.9,326.4
11,2003,15,4.2,2355.9,0.3
11,2004,39,52.94,2460.1,72.57
11,2004,64,1264.7,2460.1,805.85
11,2004,99,66.42,2460.1,404.12
11,2004,0,85,2460.1,15.86
11,2004,102,683.5,2460.1,197.9
11,2004,42,18394.7,2460.1,52380000
11,2004,35,60,2460.1,145.2
11,2004,7,118,2460.1,366
11,2004,15,1,2460.1,0.11
11,2005,39,2.09,2954.7,12.06
11,2005,99,22,2954.7,582
11,2005,0,41,2954.7,0.1
11,2005,102,450,2954.7,55.8
11,2005,42,13876.57,2954.7,52030000
11,2005,89,10,2954.7,70
11,2006,64,896,2404.7,477.6
11,2006,99,198,2404.7,976
11,2006,0,22.16,2404.7,0.68
11,2006,102,450,2404.7,85.13
11,2006,42,14358,2404.7,59370000
11,2006,35,3,2404.7,9
11,2006,7,6,2404.7,21
11,2006,52,0.2,2404.7,0.5
11,2006,67,18,2404.7,86
11,2006,44,52.03,2404.7,450
